date,gross_return,turnover,transaction_cost,net_return,active
2023-09-30,0.125722,0.0,0.0,0.125722,1
2023-10-31,0.16189,0.0,0.0,0.16189,1
2023-11-30,0.121528,0.0,0.0,0.121528,1
2023-12-31,0.076748,0.0,0.0,0.076748,1
2024-01-31,0.026466,0.0,0.0,0.026466,1
2024-02-29,0.026837,0.0,0.0,0.026837,1
2024-03-31,0.029149,0.0,0.0,0.029149,1
2024-04-30,0.112575,0.0,0.0,0.112575,1
2024-05-31,0.065525,0.0,0.0,0.065525,1
2024-06-30,0.054753,0.0,0.0,0.054753,1
2024-07-31,0.012957,0.0,0.0,0.012957,1
2024-08-31,0.078961,0.0,0.0,0.078961,1
2024-09-30,0.025286,0.0,0.0,0.025286,1
2024-10-31,0.060119,0.0,0.0,0.060119,1
2024-11-30,-0.042843,0.0,0.0,-0.042843,1
2024-12-31,-0.07616,0.0,0.0,-0.07616,1
2025-01-31,-0.10646,0.0,0.0,-0.10646,1
2025-02-28,-0.008572,0.0,0.0,-0.008572,1
2025-03-31,0.115746,0.0,0.0,0.115746,1
2025-04-30,0.142941,0.0,0.0,0.142941,1
2025-05-31,0.109418,0.0,0.0,0.109418,1
2025-06-30,0.09373,0.0,0.0,0.09373,1
2025-07-31,0.101892,0.0,0.0,0.101892,1
2025-08-31,0.067603,0.0,0.0,0.067603,1
2025-09-30,0.0237,0.0,0.0,0.0237,1
2025-10-31,0.021189,0.0,0.0,0.021189,1
2025-12-31,-0.056231,0.0,0.0,-0.056231,1
